hospital_id,total_treatments,total_treatments_label,nursing_quotient,nursing_quotient_label,nursing_count,provider_type,bed_count,semi_residential_count,emergency_service
771225,2630,wenige,57.03,unterdurchschnittlich,33,öffentlich,43,0,Keine Teilnahme an einer Notfallstufe.
771226,16702,sehr viele,65.37,weit unterdurchschnittlich,226,freigemeinnützig,388,0,Stufe 2 - Erweiterte Notfallversorgung
771230,2246,wenige,39.08,weit überdurchschnittlich,42,öffentlich,78,0,Keine Teilnahme an einer Notfallstufe.
771235,11789,viele,52.15,mittel,197,öffentlich,274,1,Stufe 1 - Basisnotfallversorgung
771236,7755,mittel,42.74,weit überdurchschnittlich,119,öffentlich,128,0,Stufe 1 - Basisnotfallversorgung
771237,18086,sehr viele,56.23,unterdurchschnittlich,396,freigemeinnützig,438,0,Stufe 3 - Umfassende Notfallversorgung
771238,10386,viele,55.78,unterdurchschnittlich,138,freigemeinnützig,195,0,Stufe 1 - Basisnotfallversorgung
771239,12845,viele,63.43,weit unterdurchschnittlich,257,freigemeinnützig,400,12,Stufe 1 - Basisnotfallversorgung
771240,20664,sehr viele,57.12,unterdurchschnittlich,284,freigemeinnützig,420,0,Stufe 2 - Erweiterte Notfallversorgung
771241,3986,wenige,53.27,mittel,152,freigemeinnützig,200,0,Keine Teilnahme an einer Notfallstufe.
771242,9702,viele,40.9,weit überdurchschnittlich,143,freigemeinnützig,238,0,Stufe 1 - Basisnotfallversorgung
771243,10667,viele,41.69,weit überdurchschnittlich,134,freigemeinnützig,166,0,Stufe 1 - Basisnotfallversorgung
771245,13952,viele,51.71,mittel,224,öffentlich,280,0,Stufe 1 - Basisnotfallversorgung
771246,9427,viele,58.17,unterdurchschnittlich,139,öffentlich,225,0,Stufe 1 - Basisnotfallversorgung
771247,7578,mittel,60.59,weit unterdurchschnittlich,133,freigemeinnützig,183,0,Stufe 1 - Basisnotfallversorgung
771248,10119,viele,49.1,mittel,147,öffentlich,242,0,Stufe 1 - Basisnotfallversorgung
771249,1893,wenige,33.68,weit überdurchschnittlich,30,privat,38,0,Keine Teilnahme an einer Notfallstufe.
771251,11091,viele,46.92,überdurchschnittlich,288,freigemeinnützig,406,0,Stufe 2 - Erweiterte Notfallversorgung
771252,5226,mittel,39.19,weit überdurchschnittlich,99,freigemeinnützig,155,0,Keine Teilnahme an einer Notfallstufe.
771253,6079,mittel,54.41,unterdurchschnittlich,176,freigemeinnützig,218,0,Stufe 1 - Basisnotfallversorgung
771254,21965,sehr viele,44.22,überdurchschnittlich,450,freigemeinnützig,459,0,Stufe 3 - Umfassende Notfallversorgung
771256,1467,sehr wenige,18.59,weit überdurchschnittlich,12,privat,22,0,Keine Teilnahme an einer Notfallstufe.
771257,1342,sehr wenige,47.2,überdurchschnittlich,45,öffentlich,45,0,Stufe 1 - Basisnotfallversorgung
771258,7230,mittel,50.64,mittel,154,freigemeinnützig,310,0,Stufe 1 - Basisnotfallversorgung
771259,19237,sehr viele,77.49,weit unterdurchschnittlich,266,privat,400,16,Keine Teilnahme an einer Notfallstufe.
771261,44870,sehr viele,55.31,unterdurchschnittlich,1.107,öffentlich,1075,21,Stufe 3 - Umfassende Notfallversorgung
771262,15572,viele,58.86,unterdurchschnittlich,210,freigemeinnützig,364,0,Stufe 1 - Basisnotfallversorgung
771263,5417,mittel,54.08,unterdurchschnittlich,108,freigemeinnützig,80,5,Stufe 2 - Erweiterte Notfallversorgung
771264,4906,wenige,71.5,weit unterdurchschnittlich,73,freigemeinnützig,111,0,Stufe 1 - Basisnotfallversorgung
771265,10764,viele,55.49,unterdurchschnittlich,177,freigemeinnützig,278,0,Stufe 2 - Erweiterte Notfallversorgung
771266,8368,mittel,69.44,weit unterdurchschnittlich,101,öffentlich,200,0,Stufe 1 - Basisnotfallversorgung
771267,4248,wenige,54.34,unterdurchschnittlich,136,öffentlich,183,0,Stufe 1 - Basisnotfallversorgung
771268,545,sehr wenige,53.07,mittel,58,freigemeinnützig,42,0,"Ja, die Notfallstufe ist noch nicht vereinbart."
771269,13878,viele,57.85,unterdurchschnittlich,196,öffentlich,256,0,Stufe 2 - Erweiterte Notfallversorgung
771284,12004,viele,49.35,mittel,188,freigemeinnützig,285,0,Stufe 2 - Erweiterte Notfallversorgung
771285,2062,wenige,42.96,überdurchschnittlich,66,freigemeinnützig,112,0,"Ja, die Notfallstufe ist noch nicht vereinbart.
                            
                                
Erläuterung: Welche Notfallstufe bestand vorher? Spezialversorger; Wann ist diese ausgelaufen? Bis 2023; Sind neue Vereinbarungen ausstehend? Ja"
771286,18828,sehr viele,49.74,mittel,356,freigemeinnützig,450,0,Stufe 2 - Erweiterte Notfallversorgung
771288,11123,viele,55.87,unterdurchschnittlich,230,freigemeinnützig,318,10,Stufe 1 - Basisnotfallversorgung
771294,6049,mittel,44.7,überdurchschnittlich,116,freigemeinnützig,159,0,Stufe 1 - Basisnotfallversorgung
771296,1599,sehr wenige,31.72,weit überdurchschnittlich,40,öffentlich,32,0,Stufe 1 - Basisnotfallversorgung
771297,1224,sehr wenige,54.75,unterdurchschnittlich,23,öffentlich,33,0,Keine Teilnahme an einer Notfallstufe.
771298,10828,viele,56.08,unterdurchschnittlich,154,privat,293,0,Stufe 1 - Basisnotfallversorgung
771299,12234,viele,52.83,mittel,169,freigemeinnützig,266,0,Stufe 1 - Basisnotfallversorgung
771300,19580,sehr viele,62.41,weit unterdurchschnittlich,288,freigemeinnützig,402,15,Stufe 2 - Erweiterte Notfallversorgung
771301,20894,sehr viele,52.39,mittel,365,freigemeinnützig,533,18,Stufe 2 - Erweiterte Notfallversorgung
771303,7578,mittel,40.79,weit überdurchschnittlich,289,privat,194,0,Stufe 1 - Basisnotfallversorgung
771304,7075,mittel,36.84,weit überdurchschnittlich,137,privat,171,0,Stufe 1 - Basisnotfallversorgung
771306,12493,viele,52.14,mittel,256,freigemeinnützig,301,0,Stufe 2 - Erweiterte Notfallversorgung
771307,1151,sehr wenige,56.41,unterdurchschnittlich,57,freigemeinnützig,74,0,Keine Teilnahme an einer Notfallstufe.
771308,12250,viele,61.92,weit unterdurchschnittlich,160,öffentlich,263,0,Stufe 1 - Basisnotfallversorgung
771309,3446,wenige,57.4,unterdurchschnittlich,79,öffentlich,115,0,Stufe 1 - Basisnotfallversorgung
771310,3341,wenige,44.01,überdurchschnittlich,56,freigemeinnützig,105,0,Keine Teilnahme an einer Notfallstufe.
771311,8185,mittel,46.55,überdurchschnittlich,173,freigemeinnützig,198,0,Stufe 1 - Basisnotfallversorgung
771312,1288,sehr wenige,55.63,unterdurchschnittlich,51,freigemeinnützig,76,0,Keine Teilnahme an einer Notfallstufe.
771313,16674,sehr viele,56.01,unterdurchschnittlich,341,öffentlich,434,6,Stufe 2 - Erweiterte Notfallversorgung
771314,18447,sehr viele,48.36,überdurchschnittlich,264,öffentlich,335,0,Stufe 1 - Basisnotfallversorgung
771315,9997,viele,70.78,weit unterdurchschnittlich,139,öffentlich,239,0,Stufe 1 - Basisnotfallversorgung
771316,7993,mittel,58.87,unterdurchschnittlich,142,öffentlich,199,0,Stufe 1 - Basisnotfallversorgung
771317,8311,mittel,52.76,mittel,144,öffentlich,227,0,Stufe 1 - Basisnotfallversorgung
771318,7353,mittel,49.98,mittel,101,öffentlich,150,0,Stufe 1 - Basisnotfallversorgung
771320,11409,viele,44.31,überdurchschnittlich,321,freigemeinnützig,340,30,Stufe 1 - Basisnotfallversorgung
771321,0,sehr wenige,0.0,weit überdurchschnittlich,1,freigemeinnützig,0,15,Keine Teilnahme an einer Notfallstufe.
771322,950,sehr wenige,85.98,weit unterdurchschnittlich,11,privat,42,0,Keine Teilnahme an einer Notfallstufe.
771328,6837,mittel,56.06,unterdurchschnittlich,128,privat,165,6,Keine Teilnahme an einer Notfallstufe.
771338,5490,mittel,58.73,unterdurchschnittlich,114,freigemeinnützig,208,0,Stufe 1 - Basisnotfallversorgung
771339,4898,wenige,51.53,mittel,77,freigemeinnützig,95,0,Stufe 1 - Basisnotfallversorgung
771340,15989,sehr viele,44.63,überdurchschnittlich,235,privat,344,40,Stufe 2 - Erweiterte Notfallversorgung
771341,1870,wenige,62.72,weit unterdurchschnittlich,84,freigemeinnützig,97,13,Keine Teilnahme an einer Notfallstufe.
771342,10728,viele,45.99,überdurchschnittlich,224,freigemeinnützig,248,0,Stufe 2 - Erweiterte Notfallversorgung
771343,18636,sehr viele,54.48,unterdurchschnittlich,292,freigemeinnützig,366,0,Stufe 2 - Erweiterte Notfallversorgung
771347,9130,viele,44.43,überdurchschnittlich,153,freigemeinnützig,182,0,Stufe 1 - Basisnotfallversorgung
771348,7212,mittel,54.42,unterdurchschnittlich,123,freigemeinnützig,221,7,Stufe 1 - Basisnotfallversorgung
771351,4042,wenige,30.55,weit überdurchschnittlich,70,öffentlich,100,0,Keine Teilnahme an einer Notfallstufe.
771354,4805,wenige,51.3,mittel,171,öffentlich,189,0,Keine Teilnahme an einer Notfallstufe.
771355,14245,viele,44.76,überdurchschnittlich,251,öffentlich,303,6,Stufe 1 - Basisnotfallversorgung
771356,16,sehr wenige,0.0,weit überdurchschnittlich,0,öffentlich,0,0,Stufe 2 - Erweiterte Notfallversorgung
771357,8285,mittel,58.89,unterdurchschnittlich,114,öffentlich,194,0,Stufe 1 - Basisnotfallversorgung
771358,7592,mittel,37.83,weit überdurchschnittlich,137,privat,233,0,"Ja, die Notfallstufe ist noch nicht vereinbart."
771359,664,sehr wenige,24.33,weit überdurchschnittlich,11,öffentlich,17,0,Stufe 2 - Erweiterte Notfallversorgung
771360,1022,sehr wenige,64.14,weit unterdurchschnittlich,232,privat,183,0,"Ja, die Notfallstufe ist noch nicht vereinbart."
771362,35234,sehr viele,48.44,überdurchschnittlich,629,öffentlich,631,13,Stufe 3 - Umfassende Notfallversorgung
771364,6875,mittel,52.65,mittel,105,öffentlich,128,0,Stufe 1 - Basisnotfallversorgung
771367,1203,sehr wenige,53.93,unterdurchschnittlich,18,öffentlich,32,0,Stufe 1 - Basisnotfallversorgung
771369,2181,wenige,68.24,weit unterdurchschnittlich,24,öffentlich,41,0,Keine Teilnahme an einer Notfallstufe.
771373,1364,sehr wenige,21.4,weit überdurchschnittlich,21,privat,40,0,Keine Teilnahme an einer Notfallstufe.
771374,40806,sehr viele,49.37,mittel,865,öffentlich,933,77,Stufe 2 - Erweiterte Notfallversorgung
771375,37798,sehr viele,54.01,unterdurchschnittlich,925,öffentlich,915,20,Stufe 3 - Umfassende Notfallversorgung
771376,1717,sehr wenige,63.37,weit unterdurchschnittlich,47,freigemeinnützig,91,0,Keine Teilnahme an einer Notfallstufe.
771378,19947,sehr viele,42.91,weit überdurchschnittlich,389,öffentlich,397,18,Stufe 3 - Umfassende Notfallversorgung
771379,6085,mittel,57.13,unterdurchschnittlich,85,privat,118,0,Stufe 1 - Basisnotfallversorgung
771382,7038,mittel,51.68,mittel,112,öffentlich,147,0,Stufe 1 - Basisnotfallversorgung
771388,15189,viele,52.78,mittel,248,öffentlich,328,6,Stufe 2 - Erweiterte Notfallversorgung
771389,5814,mittel,38.28,weit überdurchschnittlich,151,privat,175,5,Stufe 1 - Basisnotfallversorgung
771392,54318,sehr viele,49.36,mittel,1.339,öffentlich,1294,49,Stufe 3 - Umfassende Notfallversorgung
771393,12337,viele,46.56,überdurchschnittlich,286,freigemeinnützig,290,0,Stufe 2 - Erweiterte Notfallversorgung
771395,18691,sehr viele,50.84,mittel,405,freigemeinnützig,578,18,Stufe 3 - Umfassende Notfallversorgung
771396,8146,mittel,51.48,mittel,140,freigemeinnützig,241,0,"Ja, die Notfallstufe ist noch nicht vereinbart."
771397,6409,mittel,55.15,unterdurchschnittlich,121,öffentlich,181,4,Stufe 1 - Basisnotfallversorgung
771398,12198,viele,41.95,weit überdurchschnittlich,260,freigemeinnützig,316,0,Stufe 1 - Basisnotfallversorgung
771399,2067,wenige,55.08,unterdurchschnittlich,85,freigemeinnützig,105,13,Keine Teilnahme an einer Notfallstufe.
771402,34057,sehr viele,44.02,überdurchschnittlich,1.006,öffentlich,844,52,Stufe 3 - Umfassende Notfallversorgung
771411,6668,mittel,62.32,weit unterdurchschnittlich,85,freigemeinnützig,165,0,Stufe 1 - Basisnotfallversorgung
771413,74,sehr wenige,16.7,weit überdurchschnittlich,4,freigemeinnützig,11,0,Keine Teilnahme an einer Notfallstufe.
771415,14338,viele,40.36,weit überdurchschnittlich,329,öffentlich,323,0,Stufe 3 - Umfassende Notfallversorgung
771416,11626,viele,60.03,weit unterdurchschnittlich,171,öffentlich,303,0,Stufe 2 - Erweiterte Notfallversorgung
771417,24508,sehr viele,63.55,weit unterdurchschnittlich,314,freigemeinnützig,447,0,Stufe 2 - Erweiterte Notfallversorgung
771418,398,sehr wenige,49.18,mittel,73,öffentlich,50,0,Keine Teilnahme an einer Notfallstufe.
771419,5587,mittel,35.07,weit überdurchschnittlich,114,privat,147,0,Stufe 1 - Basisnotfallversorgung
771420,35313,sehr viele,45.8,überdurchschnittlich,752,öffentlich,858,0,Stufe 3 - Umfassende Notfallversorgung
