name,street,city,zip,phone,mail,beds_number,latitude,longitude,link,hospital_id,federal_state_code
DRK Krankenhaus Chemnitz-Rabenstein,Unritzstraße 23,"Chemnitz, Sachsen",09117,+49 (0)371/832-0,schmuhl.torsten@drk-khs.de,298,50.820971422274,12.825703382623,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771039/,771039,SN
DRK Krankenhaus Lichtenstein GmbH,Hartensteiner Straße 42,Lichtenstein/Sam,09350,+49 (0)37204/32-0,qualitaetsmanagement@drk-khs.de,182,50.7481879614,12.635738611352,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771040/,771040,SN
Westküstenkliniken Brunsbüttel und Heide gGmbH Standort Brunsbüttel,Delbrückstraße 2,Brunsbüttel,25541,+49 (0)481/785-0,info@wkk-hei.de,129,53.899929843295,9.145465904248,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771041/,771041,SH
Westküstenkliniken Brunsbüttel und Heide gGmbH Standort Heide,Esmarchstraße 50,"Heide, Holst",25746,+49 (0)481/785-0,info@wkk-hei.de,574,54.199694819113,9.080427056679,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771042/,771042,SH
Krankenhaus St. Joseph-Stift Dresden GmbH,Wintergartenstraße 15/17,Dresden,01307,+49 (0)351/4440-0,info@josephstift-dresden.de,269,51.047260729446,13.761893731153,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771043/,771043,SN
Oberhavel Klinik Gransee GmbH,Meseberger Weg 12-13,Gransee,16775,+49 (0)3306/759-0,klinik@oberhavel-kliniken.de,70,52.999120018851,13.144247923046,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771052/,771052,BB
Helios Klinik Herzberg/Osterode GmbH,Dr.-Frössel-Allee 0,Herzberg am Harz,37412,+49 (0)5521/8660,info.herzberg@helios-gesundheit.de,223,51.669421222672,10.343406915599,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771053/,771053,NI
Remigius Klinik im Park,Hagelkreuzstraße 37,Hilden,40721,+49 (0)2103/896-0,info.Hilden@bergmanclinics.de,48,51.164303445375,6.937714397891,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771054/,771054,NW
Herz- und Diabeteszentrum Nordrhein-Westfalen,Georgstr. 11,Bad Oeynhausen,32545,+49 (0)5731/97-0,info@hdz-nrw.de,504,52.191836211534,8.795144140745,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771056/,771056,NW
Diakonissen-Stiftungs-Krankenhaus Speyer,Paul-Egell-Straße 33,Speyer,67346,+49 (0)6232/221401,krankenhaus-sp@diakonissen.de,449,49.310583791423,8.435867607577,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771057/,771057,RP
Geriatrische Fachklinik Georgenhaus,Ernststraße 7,Meiningen,98617,+49 (0)3693/456-0,info@sozialwerk-meiningen.de,124,50.580026187825,10.422622740252,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771059/,771059,TH
Urolog. Privatklinik Dr. med. E. Klein GmbH,Lerchenstr. 81,Heilbronn,74074,+49 (0)7131/15660,info@klinik-lerchenberg.de,17,49.137255862699,9.232757806712,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771060/,771060,BW
GPR Klinikum Rüsselsheim,August-Bebel-Str. 59,Rüsselsheim,65428,+49 (0)6142/88-0,info@GP-Ruesselsheim.de,401,49.983361564774,8.423935532537,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771061/,771061,HE
Klinik Flechsig GmbH,Chemnitzstraße 33,Kiel,24116,+49 (0)431/3397100,info@klinik-flechsig.de,30,54.322720962379,10.116963350956,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771062/,771062,SH
Vitos Orthopädische Klinik Kassel gGmbH,Wilhelmshöher Allee 345,"Kassel, Hess",34131,+49 (0)561/30840,info@vitos-okk.de,165,51.312296957311,9.430117964712,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771064/,771064,HE
Urologische Klinik München - Planegg,Germeringer Straße 32,Planegg,82152,+49 (0)89/85693-0,info@ukmp.de,75,48.108793679418,11.415068104859,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771065/,771065,BY
Neurologische Klinik Selzer GmbH,Murgtalstraße 656,Baiersbronn,72270,+49 (0)7447/27-0,info@selzer.de,115,48.61108751634,8.363878637574,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771069/,771069,BW
Helios Frankenwaldklinik Kronach,Friesener Straße 41,"Kronach, Oberfr",96317,+49 (0)9261/590,info.kronach@helios-gesundheit.de,240,50.243595963641,11.332509683816,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771070/,771070,BY
Lungenklinik Hemer,Theo-Funccius-Straße 1,Hemer,58675,+49 (0)2372/908-0,info@lkhemer.de,223,51.392817822432,7.765916168673,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771071/,771071,NW
St. Elisabeth-Krankenhaus Geilenkirchen,Martin-Heyden-Straße 32,Geilenkirchen,52511,+49 (0)2451/6220,info@krankenhaus-geilenkirchen.de,245,50.965685855476,6.123835623248,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771072/,771072,NW
Klinik Bosse Wittenberg,Hans-Lufft-Straße 5,Lutherstadt Wittenberg,06886,+49 (0)3491/476-0,sachsen-anhalt@alexianer.de,48,51.86992821909,12.631442785296,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771073/,771073,ST
Sana Herzchirurgie Stuttgart GmbH,Herdweg (Stgt) 2,Stuttgart,70174,+49 (0)711/278-36110,SHS-Info@sana.de,53,48.783142647431,9.170659946976,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771074/,771074,BW
SRH Fachkrankenhaus Neresheim,Kösinger Straße 1 1,Neresheim,73450,+49 (0)7326/96080,info.fkne@srh.de,64,48.756547723471,10.335906922801,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771075/,771075,BW
Kliniken Dr. Erler,Kontumazgarten 4-19,"Nürnberg, Mittelfranken",90429,+49 (0)911/2728-0,info@erler-klinik.de,234,49.453817021572,11.067559048315,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771076/,771076,BY
Josephs-Hospital Warendorf,Am Krankenhaus 2,Warendorf,48231,+49 (0)2581/20-0,info@jhwaf.de,241,51.960420529706,8.002352893336,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771077/,771077,NW
Kreiskliniken Herford-Bünde AöR Lukas-Krankenhaus Bünde,Hindenburgstraße 56,Bünde,32257,+49 (0)5223/167209,info@lukas-krankenhaus.de,281,52.198263518603,8.593985836487,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771078/,771078,NW
Sankt Josef-Hospital GmbH,In der Hees 4,Xanten,46509,+49 (0)2801/71000,info@sankt-josef-hospital.de,160,51.643185223281,6.452771007998,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771079/,771079,NW
München Klinik gGmbH - Bogenhausen,Englschalkinger Straße 77,München,81925,+49 (0)89/9270-2001,sekretariat.klinikleitung.kb@muenchen-klinik.de,911,48.155259263671,11.624686360392,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771080/,771080,BY
STENUM Ortho GmbH,Heilstättenweg 1,Ganderkesee,27777,+49 (0)4223/71-0,gesund@stenum-ortho.de,51,53.079480412719,8.555723190439,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771081/,771081,NI
München Klinik gGmbH - Thalkirchner Straße,Thalkirchner Straße 48,München,80337,+49 (0)89/5147-6010,sekretariat.klinikleitung.ks@muenchen-klinik.de,100,48.128759452289,11.564486861262,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771082/,771082,BY
München Klinik gGmbH - Harlaching,Sanatoriumsplatz 2,München,81545,+49 (0)89/6210-0,sekretariat.klinikleitung.kh@muenchen-klinik.de,465,48.085567292582,11.557083964381,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771083/,771083,BY
München Klinik gGmbH - Neuperlach,Oskar-Maria-Graf-Ring 51,München,81737,+49 (0)89/6794-0,sekretariat.klinikleitung.kn@muenchen-klinik.de,460,48.095395999887,11.656508088145,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771084/,771084,BY
München Klinik gGmbH - Schwabing,Kölner Platz 1,München,80804,+49 (0)89/3068-2201,sekretariat.klinikleitung.ks@muenchen-klinik.de,522,48.170562997054,11.577624321017,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771085/,771085,BY
Klinikum in den Pfeifferschen Stiftungen GmbH,Pfeifferstraße 10,Magdeburg,39114,+49 (0)391/8505-0,blkh@pfeiffersche-stiftungen.de,260,52.115985634468,11.666216611748,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771087/,771087,ST
Fachklinik Osterhofen GmbH,Plattlinger Straße 29,"Osterhofen, Niederbayern",94486,+49 (0)9932/39-0,info@fachklinik-osterhofen.de,127,48.704592013673,13.012691974673,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771088/,771088,BY
Klinikum Kulmbach Hauptstandort,Albert-Schweitzer-Straße 10,Kulmbach,95326,+49 (0)9221/98-0,geschaeftsfuehrung@klinikum-kulmbach.de,540,50.118407708058,11.466021895376,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771090/,771090,BY
Klinikum Kulmbach Fachklinik Stadtsteinach,Kronacher Straße 26,Stadtsteinach,95346,+49 (0)9225/88-0,sanpforte@fachklinik-stadtsteinach.de,25,50.166272726541,11.500779569133,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771091/,771091,BY
Haßberg-Kliniken Haus Haßfurt,Hofheimer Straße 69,Haßfurt,97437,+49 (0)9531/6280,info@hassberg-kliniken.de,150,50.0403132101,10.514809727702,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771093/,771093,BY
Haßberg-Kliniken Haus Ebern,Coburger Straße 21,Ebern,96106,+49 (0)9531/6280,info@hassberg-kliniken.de,50,50.097006387061,10.798469424281,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771094/,771094,BY
HELIOS Klinikum Meiningen GmbH,Bergstraße 3,Meiningen,98617,+49 (0)3693/900,info.meiningen@helios-gesundheit.de,397,50.557756016505,10.397240889115,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771095/,771095,TH
Klinikum Neumarkt,Nürnberger Straße 12,Neumarkt in der Oberpfalz,92318,+49 (0)9181/420-3712,info@klinikum.neumarkt.de,500,49.285523487235,11.451848794554,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771096/,771096,BY
Kreisklinik Wörth an der Donau,Krankenhausstraße 2,Wörth an der Donau,93086,+49 (0)9482/202-0,info@kreisklinik-woerth.de,120,48.999016124676,12.399249851687,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771098/,771098,BY
"Klinikum Bad Hersfeld Am Hopfengarten 16, 36251",Am Hopfengarten 16,Bad Hersfeld,36251,+49 (0)6621/880,info@klinikum-hef.de,40,50.860663628907,9.694687306865,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771099/,771099,HE
Klinikum saarbrücken gGmbH,Winterberg 1,Saarbrücken,66119,+49 (0)681/9630,info@klinikum-saarbruecken.de,600,49.221065672421,6.996766018751,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771100/,771100,SL
Klinikum Bremerhaven Reinkenheide gGmbH,Postbrookstraße 103,Bremerhaven,27574,+49 (0)472/299-0,info@klinikum-bremerhaven.de,546,53.537686902915,8.636878319085,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771101/,771101,HB
Evangelisches Krankenhaus Wesel GmbH,Schermbecker Landstraße 88,Wesel am Rhein,46485,+49 (0)281/1061,info@evkwesel.de,339,51.660077377416,6.654883503979,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771102/,771102,NW
"Oder-Spree Krankenhaus GmbH, Beeskow",Schützenstraße 28,Beeskow,15848,+49 (0)3366/444510,info@os-kh.de,146,52.170148241181,14.241641521585,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771103/,771103,BB
Krankenhaus Land Hadeln Otterndorf GmbH,Große Ortstraße 85,"Otterndorf, Niederelbe",21762,+49 (0)4751/908-0,info@khlh.de,94,53.812428563776,8.888276338512,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771104/,771104,NI
Knappschaftskrankenhaus Lütgendortmund,Volksgartenstraße 40,Dortmund,44388,+49 (0)231/6188-0,info@klinikum-westfalen.de,196,51.501973397817,7.330100655572,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771105/,771105,NW
"Klinikum Westfalen GmbH - KKDO, KaP, HK Hellmig-Krankenhaus Kamen",Nordstraße 34,"Kamen, Westfalen",59174,+49 (0)2307/149276,info@klinikum-westfalen.de,170,51.595414117709,7.66274553539,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771106/,771106,NW
"Klinikum Westfalen GmbH - KKDO, KaP, HK Klinik am Park Lünen",Brechtener Straße 59,Lünen,44536,+49 (0)231/87870,info@klinikum-westfalen.de,135,51.589960263977,7.441500842588,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771107/,771107,NW
"Klinikum Westfalen GmbH - KKDO, KaP, HK Knappschaftskrankenhaus Dortmund",Am Knappschaftskrankenhaus 1,Dortmund,44309,+49 (0)231/922-0,info@klinikum-westfalen.de,530,51.519954398832,7.533110618624,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771108/,771108,NW
Kreiskrankenhaus Grünstadt,Westring 55,Grünstadt,67269,+49 (0)6359/809-0,kontakt@kkhgs.de,184,49.563856902112,8.157812386735,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771109/,771109,RP
Sana Paulinenkrankenhaus gGmbH,Dickensweg 25,Berlin,14055,+49 (0)30/30008-0,info@paulinenkrankenhaus.de,148,52.508026341004,13.233626604015,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771112/,771112,BE
Krankenhaus St. Barbara Schwandorf,Steinberger Straße 24,"Schwandorf, Bayern",92421,+49 (0)9431/52-0,info@barmherzige-schwandorf.de,267,49.316471029148,12.114455204983,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771113/,771113,BY
Ev. Lukas-Krankenhaus,Zum Lukas-Krankenhaus 1,Gronau(Westfalen),48599,+49 (0)2562/79-0,info.gronau@valeo-kliniken.de,55,52.217011130511,7.030822992333,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771114/,771114,NW
St. Augustinus Krankenhaus gGmbH,Renkerstraße 45,"Düren, Rheinland",52355,+49 (0)2421/599-0,zentrale.lendersdorf@ct-west.de,288,50.770354595772,6.487881124003,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771115/,771115,NW
Ev. Krankenhaus Johannisstift,Wichernstraße 8,"Münster, Westfalen",48147,+49 (0)251/2706-30000,info@evk-muenster.de,161,51.972621435458,7.624717712533,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771116/,771116,NW
St. Nikolaus-Stiftshospital,Ernestus-Platz 1,Andernach,56626,+49 (0)2632/404-0,info@stiftshospital-andernach.de,224,50.44037168914,7.404745995982,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771119/,771119,RP
Krankenhaus Maria-Hilf Krefeld,Dießemer Bruch 81,Krefeld,47805,+49 (0)2151/334-3551,info@alexianer-krefeld.de,375,51.325714777822,6.584742799409,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771123/,771123,NW
Sana Klinikum Hof GmbH,Eppenreuther Straße 9,"Hof, Saale",95032,+49 (0)9281/98-0,skh-info@sana.de,438,50.302707177557,11.915290157776,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771124/,771124,BY
RHÖN-KLINIKUM Campus Bad Neustadt,Von-Guttenberg-Straße 11,Bad Neustadt a. d. Saale,97616,+49 (0)9771/66-0,geschaeftsleitung@campus-nes.de,810,50.323539117742,10.235667943889,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771125/,771125,BY
Christliches Kinderhospital Osnabrück GmbH - Hauptstandort,Johannisfreiheit 1,Osnabrück,49074,+49 (0)541/7000-6000,info@ckos.de,117,52.270038404085,8.053050398794,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771127/,771127,NI
Christliches Kinderhospital Osnabrück GmbH - Station 9,Am Finkenhügel 1,Osnabrück,49076,+49 (0)541/7000-6000,info@ckos.de,14,52.277394337352,8.00327610963,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771128/,771128,NI
"Klinikum Bad Hersfeld Seilerweg 29, 36251",Seilerweg 29,Bad Hersfeld,36251,+49 (0)6621/880,info@klinikum-hef.de,501,50.875966135527,9.713435947879,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771129/,771129,HE
Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-,Marlistraße 10,Lübeck,23566,+49 (0)451/98902-0,kontakt@geriatrie-luebeck.de,0,53.873193774851,10.708308577505,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771132/,771132,SH
Herzzentrum Leipzig,Strümpellstraße 39,Leipzig,04289,+49 (0)341/8650,info.herzzentrum@helios-gesundheit.de,440,51.30760564054,12.436903238231,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771136/,771136,SN
St.Josefskrankenhaus Heidelberg GmbH,Landhausstraße 25,"Heidelberg, Neckar",69115,+49 (0)6221/526-0,info@st.josefskrankenhaus.de,234,49.40264302376,8.688714086993,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771138/,771138,BW
HELIOS Park-Klinikum,Strümpellstraße 41,Leipzig,04289,+49 (0)341/8640,info.parkklinikum@helios-kliniken.de,310,51.308331669107,12.436151683314,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771139/,771139,SN
Caritas-Krankenhaus St. Josef,Landshuter Straße 65,Regensburg,93053,+49 (0)941/782-0,geschaeftsfuehrung@csj.de,325,49.0070151794,12.118438124689,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771144/,771144,BY
Krankenhäuser Nürnberger Land GmbH Krankenhaus Altdorf,Neumarkter Straße 6,Altdorf bei Nürnberg,90518,+49 (0)9187/800-100,claudia.palm@kh-altdorf.de,79,49.38510192637,11.359442710909,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771145/,771145,BY
Bergman Clinics Hofgartenklinik,Hofgartenstraße 6,Aschaffenburg,63739,+49 (0)6021/303-186,info.hof@bergmanclinics.de,44,49.9752772761,9.155327260478,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771150/,771150,BY
Klinikum Landkreis Erding,Bajuwarenstraße 5,Erding,85435,+49 (0)8122/59-0,info@klinikum-erding.de,294,48.294507744628,11.896311521596,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771151/,771151,BY
Klinikum Landkreis Erding Klinik Dorfen,Erdinger Str. 17,Dorfen,84405,+49 (0)8081/413-0,info@klinikum-erding.de,48,48.276616995578,12.15182948119,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771152/,771152,BY
GLG Fachklinik Wolletzsee GmbH,Zur Welse 2,Angermünde,16278,+49 (0)33337/49-0,info@glg-fachklinik-wolletzsee.de,20,53.025067367421,13.907483339408,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771153/,771153,BB
Klinikum Obergöltzsch Rodewisch,Stiftstraße 10,Rodewisch,08228,+49 (0)3744/361-0,postmaster@klinikum-obergoeltzsch.de,326,50.522910469028,12.41066318752,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771157/,771157,SN
Elbe-Jeetzel-Klinik Dannenberg GmbH,Hermann-Löns-Straße 2,Dannenberg(Elbe),29451,+49 (0)5861/83-1110,info@eljek.de,106,53.082453012108,11.079501092418,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771160/,771160,NI
"Klinikum Lippe GmbH GmbH, Standort Bad Salzuflen",Heldmanstraße 45,Bad Salzuflen,32108,+49 (0)5231/720,info@klinikum-lippe.de,0,52.075529890169,8.763733863962,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771161/,771161,NW
"Klinikum Lippe GmbH GmbH, Standort Lemgo",Rintelner Straße 85,Lemgo,32657,+49 (0)5231/720,info@klinikum-lippe.de,419,52.03759724995,8.900977134836,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771162/,771162,NW
Fachkrankenhaus Kloster Grafschaft GmbH,Annostraße 1,Schmallenberg,57392,+49 (0)2972/791-00,verwaltung@fkkg.de,205,51.144133726251,8.325611114633,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771166/,771166,NW
Marienhaus Klinikum St. Elisabeth Saarlouis,Kapuziner Straße 4,Saarlouis,66740,+49 (0)6831/16-0,info.sls@marienhaus.de,420,49.315198364389,6.756520986492,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771167/,771167,SL
Arberlandklinik Viechtach,Karl-Gareis-Straße 31,Viechtach,94234,+49 (0)9942/20-0,info-v@arberlandkliniken.de,166,49.085417334378,12.87576627733,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771168/,771168,BY
Kreiskrankenhaus Prenzlau,Stettiner Straße 121,Prenzlau,17291,+49 (0)3984/33-0,info@krankenhaus-prenzlau.de,101,53.334064923664,13.86869430542,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771172/,771172,BB
Universitätsklinikum Aachen AöR | Franziskus,Morillenhang 27,Aachen,52074,+49 (0)241/80-0,info@ukaachen.de,153,50.765452003177,6.069212973134,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771173/,771173,NW
Klinikum Altmühlfranken Gunzenhausen,Albert-Schweitzer-Straße 90,Gunzenhausen am Altmühlsee,91710,+49 (0)9831/52-0,info@klinikum-altmuehlfranken.de,220,49.107583287499,10.774124622476,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771174/,771174,BY
Universitätsklinikum Erlangen,Maximiliansplatz 2,Erlangen,91054,+49 (0)9131/85-0,Qualitaetsbericht.QM@uk-erlangen.de,1172,49.600814436059,11.010412752612,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771175/,771175,BY
Städtisches Klinikum Solingen gemeinnützige GmbH,Gotenstraße 1,Solingen,42653,+49 (0)212/5470,info@klinikumsolingen.de,465,51.185501667648,7.069405496104,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771176/,771176,NW
Klinikum Dritter Orden München-Nymphenburg,Menzinger Straße 44,München,80638,+49 (0)89/1795-0,info@dritter-orden.de,574,48.165004874192,11.505552292001,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771177/,771177,BY
Klinikum Dritter Orden München-Nymphenburg Standort TCE Therapie-Centrum für Essstörungen,Lachnerstraße 41,München,80639,+49 (0)89/1795-0,info@dritter-orden.de,0,48.154028182825,11.523899674448,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771178/,771178,BY
Klinikum Gütersloh gemeinnützige GmbH,Reckenberger Straße 19,Gütersloh,33332,+49 (0)5241/8300,info@klinikum-guetersloh.de,410,51.897660201973,8.383384555586,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771179/,771179,NW
Fachkrankenhaus für Neurologie,Wachauer Straße 30,"Radeberg, Sachsen",01454,+49 (0)3528/431-0,kontakt@kleinwachau.de,53,51.141348067886,13.90138185021,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771181/,771181,SN
Lungenklinik Lostau gGmbH,Lindenstraße 2,Lostau,39291,+49 (0)39222/8-0,blkh@pfeiffersche-stiftungen.org,172,52.215771478175,11.727941751456,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771182/,771182,ST
Evangelisches Krankenhaus Kalk gGmbH,Buchforststraße 2,Köln,51103,+49 (0)221/8289-0,info@evkk.de,325,50.941368283966,7.009345471843,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771183/,771183,NW
"Klinikum Lippe GmbH GmbH, Standort Detmold",Röntgenstraße 18,Detmold,32756,+49 (0)5231/720,info@klinikum-lippe.de,607,51.941692133497,8.87915468229,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771184/,771184,NW
Krankenhäuser Nürnberger Land GmbH Krankenhaus Lauf,Simonshofer Straße 55,Lauf an der Pegnitz,91207,+49 (0)9123/180-0,sekretariat@kh-nuernberger-land.de,188,49.520219956646,11.27939915662,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771186/,771186,BY
Arberlandklinik Zwiesel,Arberlandstraße 1,Zwiesel,94227,+49 (0)9922/99-0,info-z@arberlandkliniken.de,166,49.007379382061,13.217880964312,https://bundes-klinik-atlas.de/krankenhaussuche/krankenhaus/771187/,771187,BY
